"Row","Column","Correlation"
"Total_Coding_Sequences","Genome_Size",0.998395297140024
"n_genes_called","Genome_Size",0.99822657871242
"n_genes_mapped","Genome_Size",0.988987189700367
"n_contigs","Genome_Size",0.986894722211205
"Genome_Size","Total_Coding_Sequences",0.998395297140024
"n_genes_called","Total_Coding_Sequences",0.99997282460389
"n_genes_mapped","Total_Coding_Sequences",0.991253059766194
"n_contigs","Total_Coding_Sequences",0.989775150479337
"Genome_Size","n_genes_called",0.99822657871242
"Total_Coding_Sequences","n_genes_called",0.99997282460389
"n_genes_mapped","n_genes_called",0.991701340616636
"n_contigs","n_genes_called",0.990009631117404
"Genome_Size","n_genes_mapped",0.988987189700367
"Total_Coding_Sequences","n_genes_mapped",0.991253059766194
"n_genes_called","n_genes_mapped",0.991701340616636
"n_contigs","n_genes_mapped",0.981799423632864
"Genome_Size","n_contigs",0.986894722211205
"Total_Coding_Sequences","n_contigs",0.989775150479337
"n_genes_called","n_contigs",0.990009631117404
"n_genes_mapped","n_contigs",0.981799423632864
"X23S","X16S",0.991068652615594
"X16S","X23S",0.991068652615594
