"Row","Column","Correlation"
"Genome_Size","Completeness",0.906435852016034
"Total_Coding_Sequences","Completeness",0.900883201896017
"n_genes_called","Completeness",0.929636356131248
"n_genes_mapped","Completeness",0.954916404476792
"Completeness","Genome_Size",0.906435852016034
"Total_Coding_Sequences","Genome_Size",0.993072298679323
"n_genes_called","Genome_Size",0.992032504027228
"n_genes_mapped","Genome_Size",0.966207115648893
"Completeness","Total_Coding_Sequences",0.900883201896017
"Genome_Size","Total_Coding_Sequences",0.993072298679323
"n_genes_called","Total_Coding_Sequences",0.993478530380594
"n_genes_mapped","Total_Coding_Sequences",0.961807144280453
"Completeness","n_genes_called",0.929636356131248
"Genome_Size","n_genes_called",0.992032504027228
"Total_Coding_Sequences","n_genes_called",0.993478530380594
"n_genes_mapped","n_genes_called",0.985853385848316
"Completeness","n_genes_mapped",0.954916404476792
"Genome_Size","n_genes_mapped",0.966207115648893
"Total_Coding_Sequences","n_genes_mapped",0.961807144280453
"n_genes_called","n_genes_mapped",0.985853385848316
"reference_representation_score","genes_retained_index",0.951737368098854
"n_effective_surplus_clades","contamination_portion",0.968381867370836
"contamination_portion","n_effective_surplus_clades",0.968381867370836
"reference_representation_score","mean_hit_identity",0.972480263356049
"genes_retained_index","reference_representation_score",0.951737368098854
"mean_hit_identity","reference_representation_score",0.972480263356049
"X5S","X16S",0.943918549968968
"X23S","X16S",0.997413494664811
"X16S","X5S",0.943918549968968
"X23S","X5S",0.939887130719157
"X16S","X23S",0.997413494664811
"X5S","X23S",0.939887130719157
