"Row","Column","Correlation"
"Total_Coding_Sequences","Genome_Size",0.997455902557294
"n_genes_called","Genome_Size",0.997232941470125
"n_genes_mapped","Genome_Size",0.996762178697037
"Genome_Size","Total_Coding_Sequences",0.997455902557294
"n_genes_called","Total_Coding_Sequences",0.999761865138448
"n_genes_mapped","Total_Coding_Sequences",0.998560337277274
"Genome_Size","n_genes_called",0.997232941470125
"Total_Coding_Sequences","n_genes_called",0.999761865138448
"n_genes_mapped","n_genes_called",0.998750631268867
"Genome_Size","n_genes_mapped",0.996762178697037
"Total_Coding_Sequences","n_genes_mapped",0.998560337277274
"n_genes_called","n_genes_mapped",0.998750631268867
"reference_representation_score","genes_retained_index",0.907590029483956
"n_effective_surplus_clades","contamination_portion",0.998620027568654
"contamination_portion","n_effective_surplus_clades",0.998620027568654
"reference_representation_score","mean_hit_identity",0.966417589095991
"genes_retained_index","reference_representation_score",0.907590029483956
"mean_hit_identity","reference_representation_score",0.966417589095991
"X5S","X16S",0.970127388280563
"X23S","X16S",0.99414284655746
"X16S","X5S",0.970127388280563
"X23S","X5S",0.981635443001218
"X16S","X23S",0.99414284655746
"X5S","X23S",0.981635443001218
